name,latitude,longitude
acrq72,-10.19743999921008,-67.15201099972691
acrq73,-9.800131999976218,-67.03257999986091
acrq8,-9.692481000000001,-67.26956
acrq9,-10.105554000000,-66.943269000000
acrqu,-10.087948,-67.311575
acrr1,-9.819383,-67.748189
acrr10,-10.3087530000047,-67.72888200001293
acrr11,-10.23836,-67.593963
acrr12,-9.764878000000,-67.192967000000
acrr13,-9.714091,-67.515496
acrr14,-10.104544,-67.329757
acrr15,-10.17294699998068,-67.2090319999887
acrr16,-10.149612000000,-66.991442000000
acrr17,-9.784133000565916,-66.94839699929246
acrr18,-9.921501000000,-66.863337000000
acrr19,-9.6447230000000,-67.381262000000
acrr2,-9.915537100528796,-67.6728409657848
acrr20,-9.6678840000000,-67.391650000000
acrr21,-10.20251500162342,-67.65689800142549
acrr22,-10.25933400163369,-67.34786500080034
acrr23,-10.264105,-67.346550
acrr24,-9.849830999508452,-66.84356700253329
acrr25,-9.604250999900197,-67.3512819997455
acrr26,-10.0008410018701,-67.12379500069473
acrr27,-9.770732995056647,-66.93651800003539
acrr28,-9.93100400031874,-67.47833500094423
acrr29,-10.13170200088974,-67.49546800041369
acrr3,-10.01687100129337,-67.1846550013199
acrr30,-10.2967829997179,-67.635672999314
acrr4,-10.12822400004366,-67.20733899995339
acrr5,-10.126448,-67.20753499999999
acrr6,-10.127441000000,-67.208930000000
acrr7,-9.891098,-66.85999700000001
acrr8,-9.889473000000001,-66.85715399999999
acrr9,-10.01708200066944,-67.16452499905893
acrre,-9.863735,-66.942761
acrs1,-9.703096999937962,-67.66501199998299
acrs10,-9.882407000000,-67.417338000000
acrs11,-9.813357,-67.094495
acrs12,-10.060490000000,-67.06185600000001
acrs13,-10.129683,-67.09055499999999
acrs14,-9.915578999999999,-66.984407
acrs15,-10.019769,-67.135035
acrs16,-10.150823000000,-67.047950000000
acrs17,-10.144425000000,-67.045553000000
acrs19,-10.09393300007198,-67.30679899926402
acrs2,-10.01577699744466,-67.16301399906318
acrs20,-9.745386,-67.15843599999999
acrs21,-9.781784997509291,-67.22067699783116
acrs22,-9.813131000000,-67.254181000000
acrs23,-9.99104,-67.189598
acrs24,-9.989789999999999,-67.18994600000001
acrs25,-10.10006800163081,-67.37393299935333
acrs26,-10.014343000000,-67.142233000000
acrs27,-10.16827699998154,-67.35114500006286
acrs28,-10.08452599836849,-67.19780999945559
acrs29,-10.19764400129755,-67.15298300183211
acrs3,-9.880104999184391,-67.4461050008193
acrs31,-9.783259001166854,-66.94994699899515
acrs32,-9.964489999191045,-67.00027699916851
acrs33,-9.845224004179727,-67.34862999863506
acrs34,-10.24949699869489,-67.32612000121651
acrs35,-9.716452999330372,-67.12321899984468
acrs36,-9.727702682174733,-67.1209349175643
acrs37,-9.934520996648802,-67.46221800372535
acrs39,-10.08398600023588,-67.60284000031919
acrs4,-10.244442,-67.214921
acrs40,-9.885861998419394,-67.44069100020386
acrs41,-9.783175999880992,-67.05930099993991
acrs42,-9.744654998758845,-67.05984399979964
acrs43,-9.892857001087794,-66.76935999878765
acrs6,-10.0792400002707,-67.57282399805801
acrs7,-10.025191999,-67.50803799000001
acrs8,-10.063988,-67.22122400000001
acrs9,-10.061233,-67.060076
acrsq,-9.766998000511316,-67.53551700017168
acrtq,-9.885919,-66.958291
acrts,-9.897658489211347,-67.42339144832376
alequ,-10.124058000000,-66.922548000000
alge2,-10.116715000000,-66.92367600000
algen,-10.098904000000,-66.906308000000
amac1,-9.323749999970603,-67.81149799999872
amac2,-9.304011001128524,-66.49569099914962
amac3,-9.392944000230138,-65.85739000008351
amaci,-9.309311000000,-66.512311000000
amadp,-9.472438,-67.273318
amadq,-9.30849897135446,-66.50636099216889
amads,-9.188328000142135,-67.20412500093626
amads2,-9.188296000000,-67.203971000000
amae1,-9.178132000000,-66.949325000000
amae10,-9.014047000000,-67.229267000000
amae11,-9.044415000000,-67.188463000000
amae12,-9.128474999314049,-67.28326099824093
amae13,-9.417423,-67.290361
amae14,-9.15428200058251,-67.14935200246946
amae15,-9.582035996079478,-66.53367599662324
amae16,-9.17357770558084,-66.94333350235027
amae17,-9.195595994678268,-66.94213198502162
amae18,-9.301357001589,-66.49904900151392
amae19,-9.059993941858799,-67.17024898500591
amae2,-9.640052000000001,-67.167519
amae20,-9.74041465437138,-66.86789820651121
amae21,-8.778487000777618,-66.74882100022533
amae22,-9.386647999752698,-67.44288099990867
amae23,-8.829298999543267,-66.70180399971026
amae24,-8.844578717668549,-67.14749795009963
amae25,-9.511054,-66.748947
amae26,-9.120040002307354,-67.27657000075931
amae27,-9.262612000000,-67.355171000000
amae28,-9.629473000000,-66.79782300000
amae29,-9.47045199984343,-65.73125799956624
amae3,-9.547664996452635,-67.27820000036772
amae30,-9.012672999652043,-67.03737400003833
amae4,-9.233166001520646,-67.28211600151531
amae5,-9.18675900000,-67.284984
amae6,-9.213011000212335,-67.2310920002442
amae7,-9.15787400000000,-67.226067000000
amae8,-9.219053000000,-67.203754000000
amae9,-9.211832000000,-67.200842000000
amael,-9.206140000000,-67.32490000000
amag1,-9.672617999772189,-67.00003399998145
amag10,-9.052798999894032,-67.21228700015179
amag11,-9.057445000025313,-67.2127919999885
amag12,-9.131834000000,-66.166701000000
amag13,-9.325214000150396,-66.51796600264274
amag14,-9.026475000000,-67.095399000000
amag15,-9.180283000875251,-67.2476990009899
amag16,-9.088948000251079,-67.24639099990409
amag17,-9.008278000000,-67.266621000000
amag18,-8.978069000032621,-67.23631500004441
amag19,-9.145960000000,-67.222533000000
amag2,-9.220317000000,-67.356885000000
amag20,-8.965753000000,-67.010115000000
amag21,-9.004032999842158,-67.11869499999658
amag22,-9.094296998272702,-67.24810999915485
amag23,-9.125803,-65.894693
amag24,-8.999112001410008,-67.0289390017254
amag25,-8.850354000461813,-66.85927100052369
amag26,-9.159999000000,-67.233698000000
amag27,-9.233483000000,-67.179158000000
amag28,-9.330929998680178,-66.51953699902488
amag29,-9.399648000776397,-67.09764999967534
amag30,-9.376216996694431,-67.28343400170117
amag31,-9.607981999950351,-67.27879900012672
amag32,-9.172835000015878,-65.30450199939649
amag33,-8.666958204248468,-67.03020290205056
amag34,-9.428280000069819,-67.23776499983862
amag35,-9.169564907385396,-67.46987592236979
amag36,-9.296911000064469,-67.40775500091831
amag37,-8.890274999868073,-67.50707699983229
amag38,-9.040554999520861,-67.06832399999179
amag39,-9.039447001173771,-67.0619390000187
amag3,-9.308747000443814,-66.53312099941695
amag4,-9.299628000290795,-66.50849799972812
amag40,-8.962137999314432,-67.01930300036143
amag41,-8.986471451327981,-67.00965269141678
amag42,-8.952327000258844,-66.98098000019364
amag43,-8.913728000430062,-66.98853100003318
amag44,-9.069543000400669,-66.12618300012204
amag45,-9.162588999221699,-66.15150999988853
amag46,-9.16505200018365,-66.13654299977347
amag47,-9.542688999838029,-67.23168400054097
amag48,-9.185022999741388,-67.1865959999537
amag49,-9.20323200012932,-66.11213600017254
amag5,-9.562626000034079,-67.00206999993468
amag50,-9.057834001777133,-67.1700450013867
amag51,-9.068654999988299,-66.05983900020972
amag52,-9.025111999499353,-65.94832700064821
amag53,-9.391226000198827,-65.84767399965966
amag6,-9.235763002071234,-67.35360600141289
amag7,-9.182942999730205,-67.197208000000
amag8,-9.240606000000,-67.164462000000
amag9,-9.001239999700877,-66.95076999997016
amage,-9.159569000000,-67.349898000000
amao1,-9.428711000000,-65.743440000000
amao10,-9.663726,-67.130456
amao11,-9.273210999804988,-66.49375199978864
amao12,-9.129010000000,-66.949634000000
amao13,-8.831453999494448,-66.91878199995463
amao14,-9.197984000280746,-67.31894100018323
amao15,-8.932817000013831,-67.25213300015926
amao2,-9.167159999792535,-67.16590000074254
amao3,-9.332788994991878,-67.94354399737655
amao4,-9.344011000000007,-67.89865499999992
amao5,-9.286609000000,-67.4093030000000
amao6,-9.224779000000,-67.364149000000
amao7,-9.190623000000,-67.285562000000
amao9,-9.2733690,-66.487147
amaoc,-9.183613999457185,-67.00262199982704
amaov,-9.559856,-67.16971599999999
amap1,-9.052089999956022,-67.19625200068428
amap10,-9.234006000210826,-67.05131500015909
amap11,-8.822247998758129,-67.63193799967688
amap2,-8.989329999731408,-67.1420499995958
amap3,-9.109485996797975,-67.24439300136723
amap4,-9.000719003665138,-67.17538900187569
amap5,-9.172004005006496,-67.16534999848179
amap6,-9.37370100000776,-66.06576399989711
amap7,-9.698203012352238,-67.01399820073152
amap8,-9.590832999245375,-66.79871699929637
amap9,-9.268437980614854,-66.47844500547062
amapa,-9.177378992811771,-67.16457299781035
amaq1,-9.108884000569811,-67.2461589986459
amaq11,-9.61603812465337,-67.26704797172047
amaq12,-8.970755000155279,-67.10885999965232
amaq13,-9.202305999464789,-67.10097999997561
amaq14,-9.384278000296209,-67.10745396138962
amaq15,-9.258635998704536,-67.04409899886396
amaq17,-9.682809999408372,-67.04352299982263
amaq18,-9.31548000004403,-66.50970799984376
amaq19,-9.55137200000512,-66.59759599998303
amaq2,-9.56378,-67.17345299999999
amaq20,-9.351453999788616,-66.58760300126795
amaq21,-9.33706799981422,-66.570221999834
amaq22,-9.305901999871208,-66.52378799999147
amaq23,-9.783269000043267,-66.83900000006943
amaq24,-9.172321998908702,-66.94176599956904
amaq25,-9.183196,-67.155315
amaq26,-9.37262000000,-67.317898000000
amaq27,-9.154619000000,-67.224026000000
amaq28,-9.325725000138815,-66.51556500004277
amaq29,-9.445735999043004,-66.56355399979047
amaq3,-9.3111580029601,-66.99333700249525
amaq30,-9.574084999555767,-67.27255700040229
amaq31,-9.576976999626281,-67.27165399985128
amaq32,-9.1619600000000,-66.970820000000
amaq33,-9.661074999703063,-67.03970599983798
amaq34,-9.267741001252004,-66.48572299954378
amaq35,-9.016365000000,-66.115313000000
amaq36,-9.343834001073175,-66.5665530007919
amaq37,-9.351589999394934,-66.56287699962201
amaq38,-8.634223000208681,-67.13117599975637
amaq39,-9.133947000000,-67.276107000000
amaq4,-9.320936993935673,-66.51310300296346
amaq41,-8.902785999885882,-67.39091399979205
amaq42,-9.469476999999999,-66.734295
amaq43,-9.1847970000,-67.180986000000
amaq44,-9.186678000047602,-67.18108100005797
amaq45,-8.896225999700048,-67.4350969982878
amaq46,-9.4928549976275,-67.63349600622028
amaq47,-9.12405,-66.9586
amaq48,-9.249598000242498,-67.00379899991427
amaq49,-9.388488000000,-65.851619000000
amaq5,-9.304390001230756,-66.50352100059519
amaq50,-9.602396999872481,-67.27595000003268
amaq51,-9.558346000000,-66.449943000000
amaq52,-9.461765000449487,-67.60537700066436
amaq53,-9.13789500012583,-67.17257000017966
amaq54,-9.158072999744366,-67.04822300033749
amaq55,-9.182625000032161,-67.00512299944053
amaq56,-9.229587999897941,-66.9395780000534
amaq57,-8.951452999956071,-67.60599100005366
amaq58,-9.02567799996284,-67.03908799933703
amaq59,-9.375110999992311,-65.85398799976275
amaq6,-9.503820000318001,-66.67268500014868
amaq60,-9.485122999564618,-67.27042899973954
amaq61,-9.480205999640999,-67.37465499975175
amaq62,-9.481950998498984,-67.37490200082223
amaq63,-9.582252999834173,-67.28172700074322
amaq64,-9.097108999788059,-67.25073500021253
amaq7,-9.226470000000,-67.294767000000
amaq8,-9.482717000000,-67.381759000000
amaq9,-9.504186,-67.409810
amaqu,-9.173570000000,-67.202925000000
amar1,-9.156143000000,-67.223649000000
amar10,-9.167195999981065,-67.14345899984197
amar11,-8.98166199848988,-67.13974400050715
amar2,-9.435642000000,-67.179573000000
amar3,-9.096871,-67.250705
amar4,-9.434320000000,-65.816618000000
amar5,-9.018160000000,-66.143395000000
amar6,-9.082955000390966,-66.0463890002458
amar7,-9.009603000066088,-67.1259539999874
amar8,-9.129587000000,-67.172621000000
amar9,-9.224453999818071,-67.26454500072208
amare,-9.499476000043229,-67.62889300189627
amas1,-9.109089000000,-67.213445000000
amas10,-9.159943338280545,-67.49582238869419
amas11,-9.207357000000,-67.314104000000
amas12,-9.128774000000,-67.296817000000
